draw,grid_point_index,grid_point_id,shift_index,centroid_time_shift_s,centroid_time,centroid_lat,centroid_lon,centroid_depth_km,offset_north_m,offset_east_m,on_grid_edge,space_time_cell_weight,space_time_cell_n_draws,dc_percent,clvd_percent,iso_percent,moment_Nm,Mw,NP1_strike_deg,NP1_dip_deg,NP1_rake_deg,NP2_strike_deg,NP2_dip_deg,NP2_rake_deg
296,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.6873761197735,-5.255837454332289,-12.05678642589421,1.0739075961337846e+18,5.987311276206566,289.38097334013827,79.1527902879345,115.63401081016922,40.7954155697324,27.69095541641291,23.88926626058747
297,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.49276478218977,-5.310445012246047,-12.19679020556419,1.0760967463624714e+18,5.987900878856286,289.3641096987592,79.16107066174723,115.62876437101474,40.76843192205598,27.683135629405438,23.876723086291157
298,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.65408481317259,-5.299226655223202,-12.046688531604211,1.0734993980525496e+18,5.987201203499144,289.3677827079393,79.17667665661001,115.62107844399077,40.75109530155062,27.670414089970812,23.85136808767374
299,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.60985577934974,-5.353270442025651,-12.03687377862462,1.0731028150060273e+18,5.987094222752467,289.41208648159886,79.19595580329054,115.64857808879667,40.737259006598876,27.688550825582933,23.791540753243584
300,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.55663397348093,-5.4345603703504946,-12.008805656168583,1.0734674613279508e+18,5.987192589832099,289.3954346082872,79.18436364306842,115.62260406893975,40.76376727464699,27.66900772946089,23.834777196601074
301,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.50061916875529,-5.389367120581104,-12.110013710663598,1.0743134655180119e+18,5.987420679494826,289.37968338061427,79.16701562170002,115.59401942172791,40.803746503065256,27.649195487268617,23.89163717067511
302,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.6825751901352,-5.226918317196606,-12.090506492668197,1.0738485726984973e+18,5.987295362822089,289.3850035112754,79.1734436116359,115.6581415936291,40.74181364285168,27.705492930679863,23.829299353943366
303,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.44911894576478,-5.359489746644857,-12.191391307590353,1.0758226553390534e+18,5.987827123789338,289.3635706237815,79.15280920223415,115.5865452480238,40.819403465416954,27.647555471771167,23.92591539080678
304,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.62494363146578,-5.331714513602614,-12.043341854931613,1.0741426887224468e+18,5.987374651144058,289.3662893246267,79.1589567810592,115.62410089310846,40.77842700777966,27.679642976815543,23.884558281419267
305,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.62788358703278,-5.316813134431196,-12.055303278536018,1.0741348801842956e+18,5.987372546384983,289.35683315424404,79.17026452594763,115.63335600979259,40.740840241361504,27.68398090915291,23.854756453158448
306,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.67543676828892,-5.342898241125287,-11.981664990585806,1.0722039415831442e+18,5.986851599616089,289.4061419596818,79.20539328006383,115.59996153445077,40.756802552240835,27.64063491450446,23.810033640815977
307,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.50515277460964,-5.3333069778155195,-12.161540247574832,1.0750258028339729e+18,5.9876125922259975,289.37608802727345,79.16529209769449,115.63759114597612,40.76523222394226,27.689667391580006,23.86145665757453
308,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.7878883333093,-5.248520096025562,-11.963591570665129,1.0719562992541076e+18,5.986784720474367,289.4037732268437,79.17516817145635,115.64797313759668,40.766362676928985,27.69556333748084,23.83366970335007
309,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.60981312571916,-5.373117651754196,-12.017069222526654,1.0731134394543055e+18,5.987097089278925,289.3752824135349,79.18559243307979,115.60435342038441,40.75732226847587,27.65186648128371,23.846386647575784
310,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.60669455326165,-5.351300744728478,-12.042004702009876,1.0741088152046367e+18,5.987365520567033,289.4165253058197,79.18366478416847,115.64135365687774,40.76979139036677,27.68641366487059,23.82173693609179
311,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.53592522092751,-5.397073748948335,-12.067001030124162,1.0741029476772065e+18,5.9873639389509,289.3602928434948,79.1602777362977,115.61361486706383,40.779228097423186,27.669572823913843,23.89000704903991
312,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.58638541317026,-5.322516826415268,-12.091097760414467,1.0741724552012173e+18,5.987382674434628,289.3710060672582,79.1747870050188,115.63396594015833,40.746455399785184,27.682890098136923,23.845221827517584
313,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.6694726871802,-5.240292995876758,-12.090234316943043,1.0744021190287552e+18,5.987444570809754,289.3503148073443,79.17832753873797,115.58717050276175,40.760248403132174,27.63880242942948,23.874234520623773
